
 902863321=1000169|NA|ABORT|IN|INR|902863321^iibfexam^IIBFELS^EL000001100|902863321|295|Transaction Aborted|NA|NA|2021-08-13 08:48:24|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863313=1000169|0137383050118|FAIL|IN|INR|902863313^iibfexam^902863313^101202109|902863313|944|Transaction Failed|SBIN|NA|2021-08-13 08:12:15|UPI|10001692021081300021|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863355=1000169|0137134409724|BOOKED|IN|INR|902863355^iibfexam^902863355^101202109|902863355|944|Transaction Booked|SBIN|NA|2021-08-13 10:34:58|NB|10001692021081300050|1000169|2.00^0.36||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863355=1000169|0137134409724|BOOKED|IN|INR|902863355^iibfexam^902863355^101202109|902863355|944|Transaction Booked|SBIN|NA|2021-08-13 10:34:58|NB|10001692021081300050|1000169|2.00^0.36||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863355=1000169|0137134409724|BOOKED|IN|INR|902863355^iibfexam^902863355^101202109|902863355|944|Transaction Booked|SBIN|NA|2021-08-13 10:34:58|NB|10001692021081300050|1000169|2.00^0.36||||||||||

 812255220=1000169|NA|No Records Found|NA|NA|NA|812255220|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255221=1000169|NA|No Records Found|NA|NA|NA|812255221|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255222=1000169|NA|No Records Found|NA|NA|NA|812255222|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863355=1000169|0137134409724|BOOKED|IN|INR|902863355^iibfexam^902863355^101202109|902863355|944|Transaction Booked|SBIN|NA|2021-08-13 10:34:58|NB|10001692021081300050|1000169|2.00^0.36||||||||||

 812255220=1000169|NA|No Records Found|NA|NA|NA|812255220|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255221=1000169|NA|No Records Found|NA|NA|NA|812255221|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255222=1000169|NA|No Records Found|NA|NA|NA|812255222|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255223=1000169|NA|No Records Found|NA|NA|NA|812255223|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255224=1000169|NA|No Records Found|NA|NA|NA|812255224|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255225=1000169|NA|No Records Found|NA|NA|NA|812255225|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255226=1000169|NA|No Records Found|NA|NA|NA|812255226|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255227=1000169|NA|No Records Found|NA|NA|NA|812255227|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255228=1000169|NA|No Records Found|NA|NA|NA|812255228|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255229=1000169|NA|No Records Found|NA|NA|NA|812255229|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255230=1000169|NA|No Records Found|NA|NA|NA|812255230|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255231=1000169|NA|No Records Found|NA|NA|NA|812255231|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863355=1000169|0137134409724|BOOKED|IN|INR|902863355^iibfexam^902863355^101202109|902863355|944|Transaction Booked|SBIN|NA|2021-08-13 10:34:58|NB|10001692021081300050|1000169|2.00^0.36||||||||||

 812255220=1000169|NA|No Records Found|NA|NA|NA|812255220|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255221=1000169|NA|No Records Found|NA|NA|NA|812255221|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255222=1000169|NA|No Records Found|NA|NA|NA|812255222|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255223=1000169|NA|No Records Found|NA|NA|NA|812255223|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255224=1000169|NA|No Records Found|NA|NA|NA|812255224|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255225=1000169|NA|No Records Found|NA|NA|NA|812255225|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255226=1000169|NA|No Records Found|NA|NA|NA|812255226|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255227=1000169|NA|No Records Found|NA|NA|NA|812255227|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255228=1000169|NA|No Records Found|NA|NA|NA|812255228|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255229=1000169|NA|No Records Found|NA|NA|NA|812255229|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255230=1000169|NA|No Records Found|NA|NA|NA|812255230|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255231=1000169|NA|No Records Found|NA|NA|NA|812255231|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863332=1000169|NA|No Records Found|NA|NA|NA|902863332|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863353=1000169|NA|No Records Found|NA|NA|NA|902863353|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863355=1000169|0137134409724|BOOKED|IN|INR|902863355^iibfexam^902863355^101202109|902863355|944|Transaction Booked|SBIN|NA|2021-08-13 10:34:58|NB|10001692021081300050|1000169|2.00^0.36||||||||||

 812255220=1000169|NA|No Records Found|NA|NA|NA|812255220|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255221=1000169|NA|No Records Found|NA|NA|NA|812255221|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255222=1000169|NA|No Records Found|NA|NA|NA|812255222|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255223=1000169|NA|No Records Found|NA|NA|NA|812255223|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255224=1000169|NA|No Records Found|NA|NA|NA|812255224|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255225=1000169|NA|No Records Found|NA|NA|NA|812255225|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255226=1000169|NA|No Records Found|NA|NA|NA|812255226|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812255227=1000169|NA|No Records Found|NA|NA|NA|812255227|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

