
 902855360=1000169|NA|No Records Found|NA|NA|NA|902855360|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33062=

 902855360=1000169|NA|No Records Found|NA|NA|NA|902855360|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855360=1000169|NA|No Records Found|NA|NA|NA|902855360|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855360=

 902855360=

 902855360=

 902855360=

 902855360=

 902855369=1000169|NA|ABORT|IN|INR|902855369^iibfexam^iibfdupcer^801203900|902855369|236|Your session has expired. Please re-attempt the transaction.|NA|NA|2021-07-01 13:15:35|NA|NA|1000169|0.00^0.00||||||||||

 902855370=

 902855372=1000169|NA|ABORT|IN|INR|902855372^iibfexam^iibfdupcer^801051098|902855372|236|Transaction Aborted|NA|NA|2021-07-01 13:33:53|NA|NA|1000169|0.00^0.00||||||||||

 33063=

 902855374=

 33063=

 902855374=

 902855375=

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=

 33063=

 902855376=

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=

 902855378=1000169|NA|ABORT|IN|INR|902855378^iibfexam^iibfdupcer^801051098|902855378|236|Transaction Aborted|NA|NA|2021-07-01 13:45:57|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=

 33063=

 902855376=

 902855380=

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855381=1000169|NA|ABORT|IN|INR|902855381^iibfexam^iibfdupcer^801051098|902855381|236|Transaction Aborted|NA|NA|2021-07-01 13:51:15|NA|NA|1000169|0.00^0.00||||||||||

 33063=

 902855376=

